id,name,type,fare,time,interval
02,Bến xe TT – Hội An,Không trợ giá,6.000đ,05:30 – 18:30,20 phút
03,Sân bay – Bà Nà Hills,Không trợ giá,17.000đ,05:30 – 17:00,30 phút
05,Khu chung cư Hòa Hiệp Nam – Công viên Biển Đông,Trợ giá,5.000đ,05:30 – 21:00,10–20 phút
06,Sân bay – ĐH Việt Hàn,Không trợ giá,25.000đ,05:15 – 16:40,30 phút
07,Xuân Diệu – Bến xe phía Nam,Trợ giá,5.000đ,05:30 – 21:00,10–20 phút
08,Vũng Thùng – Bến xe Phạm Hùng,Trợ giá,5.000đ,05:30 – 21:00,10–20 phút
09,Xuân Diệu – Ái Nghĩa,Không trợ giá,30.000đ,05:15 – 16:40,30–45 phút
11,Xuân Diệu – BV Phụ sản Nhi,Trợ giá,5.000đ,05:30 – 21:00,10–20 phút
12,Xuân Diệu – Sân bay – Phạm Hùng,Trợ giá,5.000đ,05:30 – 21:00,10–20 phút
13,Kim Liên – ĐH Việt Hàn,Không trợ giá,25.000đ,05:30 – 18:00,20–30 phút
14,Cảng Sông Hàn – Khu CNC,Không trợ giá,Theo quy định,05:30 – 18:00,20–30 phút
21,Bến xe TT – Tam Kỳ,Không trợ giá,Theo quy định,05:30 – 18:00,20–30 phút
